ID,city,year,emission
北京1997,北京,1997,61.91811515
北京1998,北京,1998,63.61280914
北京1999,北京,1999,66.60420759
北京2000,北京,2000,68.21906263
北京2001,北京,2001,77.35516565
北京2002,北京,2002,77.8847813
北京2003,北京,2003,81.95178762
北京2004,北京,2004,88.13363243
北京2005,北京,2005,92.12050897
北京2006,北京,2006,96.66792509
北京2007,北京,2007,102.8899215
北京2008,北京,2008,99.20893921
北京2009,北京,2009,100.3872987
北京2010,北京,2010,105.0396713
北京2011,北京,2011,95.31082402
北京2012,北京,2012,97.99804428
北京2013,北京,2013,94.07097644
北京2014,北京,2014,93.25544947
北京2015,北京,2015,92.76299625
北京2016,北京,2016,89.98180725
北京2017,北京,2017,85.56048441
北京2018,北京,2018,88.4090731
北京2019,北京,2019,88.15542679
天津1997,天津,1997,51.4135084
天津1998,天津,1998,51.77468571
天津1999,天津,1999,52.99457745
天津2000,天津,2000,58.22802427
天津2001,天津,2001,60.35521849
天津2002,天津,2002,65.13894092
天津2003,天津,2003,66.20121366
天津2004,天津,2004,78.27712647
天津2005,天津,2005,88.9824097
天津2006,天津,2006,95.51672307
天津2007,天津,2007,103.447274
天津2008,天津,2008,110.2302082
天津2009,天津,2009,122.3469494
天津2010,天津,2010,139.1524999
天津2011,天津,2011,154.2893913
天津2012,天津,2012,160.3253608
天津2013,天津,2013,159.6514739
天津2014,天津,2014,158.1051713
天津2015,天津,2015,154.3530913
天津2016,天津,2016,148.9459324
天津2017,天津,2017,143.991043
天津2018,天津,2018,154.3368032
天津2019,天津,2019,158.4665347
河北保定2000,河北保定,2000,14.26696812
河北保定2001,河北保定,2001,11.94976109
河北保定2002,河北保定,2002,12.97175976
河北保定2003,河北保定,2003,14.63013202
河北保定2004,河北保定,2004,32.63740911
河北保定2005,河北保定,2005,40.87311699
河北保定2006,河北保定,2006,36.51691281
河北保定2007,河北保定,2007,33.91774027
河北保定2008,河北保定,2008,38.05047528
河北保定2009,河北保定,2009,31.58544939
河北保定2010,河北保定,2010,32.06950397
河北保定2011,河北保定,2011,35.39363275
河北保定2012,河北保定,2012,38.79720956
河北保定2013,河北保定,2013,27.36781546
河北保定2014,河北保定,2014,24.96235535
河北保定2015,河北保定,2015,24.48056747
河北保定2016,河北保定,2016,28.46805519
河北保定2017,河北保定,2017,29.38395416
河北保定2018,河北保定,2018,24.04301868
河北唐山2000,河北唐山,2000,111.6030101
河北唐山2001,河北唐山,2001,125.268885
河北唐山2002,河北唐山,2002,139.1903937
河北唐山2003,河北唐山,2003,176.0990422
河北唐山2004,河北唐山,2004,170.8722289
河北唐山2005,河北唐山,2005,136.6656381
河北唐山2006,河北唐山,2006,156.2709649
河北唐山2007,河北唐山,2007,166.7394078
河北唐山2008,河北唐山,2008,173.0512308
